"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Lakeland-Winter Haven, FL","29460",2024,91,68,22,1,0,0,0,105,54,43,0,0,50,41,0
"Lancaster, PA","29540",2024,152,87,63,2,0,0,0,125,67,47,0,0,0,152,0
"Lansing-East Lansing, MI","29620",2024,91,70,21,0,0,0,0,85,57,36,0,1,42,48,0
"Laramie, WY","29660",2024,182,126,54,2,0,0,0,115,67,47,0,0,135,32,15
"Laredo, TX","29700",2024,122,62,59,1,0,0,0,106,80,50,1,0,55,66,0
"Las Cruces, NM","29740",2024,91,51,32,3,1,1,3,692,88,46,0,2,38,33,18
"Las Vegas-Henderson-Paradise, NV","29820",2024,122,59,58,5,0,0,0,140,83,51,1,0,79,37,5
"Lawrenceburg, TN","29980",2024,90,71,19,0,0,0,0,80,57,33,0,0,0,90,0
"Lawton, OK","30020",2024,148,115,33,0,0,0,0,77,56,39,0,0,52,96,0
"Lebanon, PA","30140",2024,150,105,45,0,0,0,0,94,60,38,0,0,0,150,0
"Lewiston, ID-WA","30300",2024,120,81,39,0,0,0,0,92,66,37,0,0,0,120,0
"Lewiston-Auburn, ME","30340",2024,213,198,15,0,0,0,0,77,47,34,0,0,128,83,2
"Lexington-Fayette, KY","30460",2024,96,80,16,0,0,0,0,65,53,34,0,3,23,65,5
"Lima, OH","30620",2024,182,129,53,0,0,0,0,97,61,44,0,0,91,91,0
"Lincoln, NE","30700",2024,41,31,10,0,0,0,0,64,58,35,0,0,0,41,0
"Little Rock-North Little Rock-Conway, AR","30780",2024,183,88,93,1,0,1,0,205,65,51,1,0,49,133,0
"Logan, UT-ID","30860",2024,182,142,38,1,1,0,0,161,63,42,0,0,136,46,0
"Longview, TX","30980",2024,117,110,7,0,0,0,0,77,49,37,0,4,113,0,0
"Longview, WA","31020",2024,121,116,5,0,0,0,0,61,35,21,0,0,0,121,0
"Los Angeles-Long Beach-Anaheim, CA","31080",2024,153,36,110,7,0,0,0,140,87,59,1,1,55,93,3
"Louisville/Jefferson County, KY-IN","31140",2024,211,130,79,1,1,0,0,154,61,47,0,3,118,90,0
"Lubbock, TX","31180",2024,121,117,4,0,0,0,0,91,33,14,0,0,0,121,0
"Ludington, MI","31220",2024,31,31,0,0,0,0,0,44,42,37,0,0,31,0,0
"Lynchburg, VA","31340",2024,59,51,8,0,0,0,0,61,52,27,0,0,0,59,0
"Macon, GA","31420",2024,182,92,88,2,0,0,0,123,66,50,0,0,25,157,0
"Madison, WI","31540",2024,91,67,24,0,0,0,0,74,57,38,0,0,2,86,3
"Manchester-Nashua, NH","31700",2024,92,92,0,0,0,0,0,47,42,36,1,0,89,2,0
"Manitowoc, WI","31820",2024,7,7,0,0,0,0,0,44,44,42,0,0,7,0,0
"Marietta, OH","31930",2024,122,109,13,0,0,0,0,90,51,40,0,0,122,0,0
"Marshall, MN","32140",2024,90,76,14,0,0,0,0,67,54,34,0,0,21,65,4
"Marshall, TX","32220",2024,121,81,37,0,1,2,0,263,56,43,0,1,51,69,0
"Mayaguez, PR","32420",2024,176,176,0,0,0,0,0,38,29,15,0,0,108,68,0
"McAlester, OK","32540",2024,150,101,49,0,0,0,0,77,64,44,0,0,51,99,0
"McAllen-Edinburg-Mission, TX","32580",2024,121,42,77,2,0,0,0,105,87,56,0,0,16,100,5
"Medford, OR","32780",2024,91,72,19,0,0,0,0,75,54,37,0,0,0,91,0
"Memphis, TN-MS-AR","32820",2024,182,110,67,5,0,0,0,133,63,48,0,1,96,85,0
"Meridian, MS","32940",2024,31,31,0,0,0,0,0,47,45,39,0,0,31,0,0
"Miami, OK","33060",2024,91,55,36,0,0,0,0,100,69,42,0,0,4,83,4
"Miami-Fort Lauderdale-West Palm Beach, FL","33100",2024,182,66,114,1,1,0,0,197,64,52,0,5,46,130,1
"Michigan City-La Porte, IN","33140",2024,182,150,31,1,0,0,0,105,60,40,0,0,161,21,0
"Middlesborough, KY","33180",2024,91,52,39,0,0,0,0,88,66,44,0,0,19,72,0
"Milwaukee-Waukesha-West Allis, WI","33340",2024,92,66,26,0,0,0,0,79,66,43,1,8,5,74,4
"Minneapolis-St. Paul-Bloomington, MN-WI","33460",2024,91,54,36,1,0,0,0,113,70,44,0,1,39,51,0
"Minot, ND","33500",2024,182,173,8,1,0,0,0,101,47,37,0,0,135,47,0
"Missoula, MT","33540",2024,91,40,51,0,0,0,0,92,70,52,0,0,12,79,0
"Mobile, AL","33660",2024,120,78,42,0,0,0,0,77,57,44,0,0,18,101,1
"Modesto, CA","33700",2024,55,33,22,0,0,0,0,81,68,40,1,0,4,50,0
"Monroe, LA","33740",2024,182,169,13,0,0,0,0,80,48,39,0,0,168,14,0
"Montgomery, AL","33860",2024,113,70,43,0,0,0,0,75,58,41,0,0,16,96,1
"Morehead City, NC","33980",2024,151,147,4,0,0,0,0,71,47,38,0,0,151,0,0
"Morgantown, WV","34060",2024,48,43,5,0,0,0,0,57,51,39,0,0,30,18,0
"Morristown, TN","34100",2024,31,29,2,0,0,0,0,58,46,39,0,0,31,0,0
"Moscow, ID","34140",2024,91,88,3,0,0,0,0,59,32,12,0,0,0,91,0
"Moses Lake, WA","34180",2024,121,115,6,0,0,0,0,54,40,22,0,0,0,121,0
"Mount Vernon, IL","34500",2024,182,127,54,1,0,0,0,112,58,44,0,0,77,105,0
"Mount Vernon, OH","34540",2024,122,101,20,1,0,0,0,101,61,42,0,0,122,0,0
"Mount Vernon-Anacortes, WA","34580",2024,121,121,0,0,0,0,0,42,36,21,0,0,0,121,0
"Muncie, IN","34620",2024,181,126,55,0,0,0,0,97,61,44,0,0,111,70,0
"Muscatine, IA","34700",2024,213,163,50,0,0,0,0,78,55,37,0,0,0,213,0
"Muskegon, MI","34740",2024,31,31,0,0,0,0,0,44,41,36,0,0,31,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2024,182,135,47,0,0,0,0,87,57,43,0,0,102,80,0
"Naples-Immokalee-Marco Island, FL","34940",2024,182,125,57,0,0,0,0,87,58,45,0,0,70,112,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2024,92,49,43,0,0,0,0,70,60,48,1,3,9,79,0
"New Castle, IN","35220",2024,152,115,37,0,0,0,0,75,55,36,0,0,0,152,0
"New Haven-Milford, CT","35300",2024,92,70,22,0,0,0,0,64,56,41,1,5,40,46,0
"New Orleans-Metairie, LA","35380",2024,183,106,73,3,1,0,0,188,67,48,1,3,88,91,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2024,183,90,84,8,1,0,0,151,87,51,1,11,83,88,0
"Niles-Benton Harbor, MI","35660",2024,31,31,0,0,0,0,0,48,44,36,0,0,31,0,0
"Nogales, AZ","35700",2024,178,129,47,1,0,1,0,205,65,38,0,0,0,134,44
"North Port-Sarasota-Bradenton, FL","35840",2024,91,61,29,0,1,0,0,169,60,47,0,0,40,51,0
"Norwich-New London, CT","35980",2024,91,83,8,0,0,0,0,56,48,31,0,0,27,64,0
"Ocala, FL","36100",2024,91,41,50,0,0,0,0,89,60,52,0,0,17,74,0
"Odessa, TX","36220",2024,119,98,21,0,0,0,0,88,54,31,0,0,0,119,0
"Ogden-Clearfield, UT","36260",2024,214,107,97,10,0,0,0,133,87,51,1,4,177,29,3
"Oklahoma City, OK","36420",2024,160,75,84,1,0,0,0,119,74,52,1,9,58,91,1
"Olympia-Tumwater, WA","36500",2024,119,116,3,0,0,0,0,76,32,15,0,0,0,119,0
"Omaha-Council Bluffs, NE-IA","36540",2024,213,130,82,1,0,0,0,101,64,46,0,0,135,74,4
"Orlando-Kissimmee-Sanford, FL","36740",2024,183,124,57,2,0,0,0,149,64,46,1,0,113,69,0
"Othello, WA","36830",2024,121,121,0,0,0,0,0,47,29,15,0,0,0,121,0
"Owensboro, KY","36980",2024,31,31,0,0,0,0,0,50,46,38,0,0,31,0,0
"Oxford, NC","37080",2024,61,52,9,0,0,0,0,90,54,44,0,0,61,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2024,121,105,16,0,0,0,0,97,53,41,0,0,92,28,1
"Paducah, KY-IL","37140",2024,91,74,17,0,0,0,0,65,53,38,0,6,18,67,0
"Pahrump, NV","37220",2024,91,87,4,0,0,0,0,68,28,13,0,0,0,0,91
"Palatka, FL","37260",2024,88,87,1,0,0,0,0,52,33,20,0,0,0,0,88
"Palm Bay-Melbourne-Titusville, FL","37340",2024,91,81,10,0,0,0,0,64,51,42,0,0,77,14,0
"Panama City, FL","37460",2024,89,50,39,0,0,0,0,68,58,48,0,0,25,64,0
"Parkersburg-Vienna, WV","37620",2024,48,40,8,0,0,0,0,60,55,39,0,0,26,22,0
"Payson, AZ","37740",2024,182,102,63,17,0,0,0,140,100,48,0,0,169,0,13
"Pensacola-Ferry Pass-Brent, FL","37860",2024,182,109,73,0,0,0,0,84,61,47,0,0,77,105,0
"Peoria, IL","37900",2024,160,115,45,0,0,0,0,100,61,44,0,0,95,65,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2024,182,91,90,1,0,0,0,126,74,51,0,2,70,110,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2024,213,33,164,15,0,1,0,261,97,67,0,0,142,55,16
"Pierre, SD","38180",2024,91,90,1,0,0,0,0,52,21,6,0,0,0,91,0
"Pittsburgh, PA","38300",2024,152,90,61,1,0,0,0,103,65,44,0,2,24,126,0
"Pittsfield, MA","38340",2024,182,155,27,0,0,0,0,97,54,39,0,0,139,43,0
"Platteville, WI","38420",2024,91,63,28,0,0,0,0,80,57,40,0,0,0,91,0
"Pocatello, ID","38540",2024,91,87,4,0,0,0,0,57,36,14,0,0,0,50,41
"Ponca City, OK","38620",2024,142,78,59,4,1,0,0,193,69,48,0,0,0,142,0
"Ponce, PR","38660",2024,173,164,9,0,0,0,0,64,41,8,82,0,0,19,72
"Port Angeles, WA","38820",2024,121,106,15,0,0,0,0,59,51,39,0,0,72,49,0
"Port St. Lucie, FL","38940",2024,91,84,7,0,0,0,0,58,48,41,0,0,72,19,0
"Portland-South Portland, ME","38860",2024,213,161,51,1,0,0,0,129,61,41,0,0,149,60,4
"Portland-Vancouver-Hillsboro, OR-WA","38900",2024,121,102,19,0,0,0,0,66,54,33,0,2,40,79,0
"Portsmouth, OH","39020",2024,182,131,51,0,0,0,0,80,57,38,0,0,0,177,5
"Prescott, AZ","39140",2024,181,112,67,2,0,0,0,115,87,47,0,0,181,0,0
"Price, UT","39220",2024,182,144,38,0,0,0,0,74,58,43,0,0,179,3,0
"Prineville, OR","39260",2024,91,75,16,0,0,0,0,75,54,31,0,0,0,91,0
"Providence-Warwick, RI-MA","39300",2024,182,155,26,1,0,0,0,101,53,41,0,2,146,34,0
"Provo-Orem, UT","39340",2024,183,127,55,1,0,0,0,105,64,44,1,1,141,39,1
"Pueblo, CO","39380",2024,152,136,15,1,0,0,0,105,51,40,0,0,108,36,8
"Pullman, WA","39420",2024,121,117,4,0,0,0,0,58,29,14,0,0,0,121,0
"Quincy, IL-MO","39500",2024,116,103,13,0,0,0,0,97,51,43,0,0,116,0,0
"Racine, WI","39540",2024,7,7,0,0,0,0,0,44,44,41,0,0,7,0,0
"Raleigh, NC","39580",2024,183,154,29,0,0,0,0,81,55,36,1,61,71,50,0
"Rapid City, SD","39660",2024,91,68,22,1,0,0,0,111,61,44,0,0,62,9,20
"Reading, PA","39740",2024,152,118,34,0,0,0,0,91,58,33,0,0,0,152,0
"Red Bluff, CA","39780",2024,91,89,2,0,0,0,0,54,39,31,0,0,69,22,0
"Red Wing, MN","39860",2024,30,30,0,0,0,0,0,44,41,37,0,0,30,0,0
"Redding, CA","39820",2024,156,148,8,0,0,0,0,84,49,42,0,0,137,14,5
"Reno, NV","39900",2024,92,73,19,0,0,0,0,78,58,45,1,2,60,29,0
"Richmond, VA","40060",2024,213,152,61,0,0,0,0,80,56,44,0,9,97,107,0
"Riverside-San Bernardino-Ontario, CA","40140",2024,153,27,101,20,5,0,0,193,112,67,1,1,65,64,22
"Riverton, WY","40180",2024,159,130,29,0,0,0,0,75,56,41,0,0,54,105,0
"Roanoke Rapids, NC","40260",2024,174,164,10,0,0,0,0,82,37,8,0,87,0,87,0
"Roanoke, VA","40220",2024,213,165,48,0,0,0,0,68,54,41,0,4,87,122,0
"Rochester, MN","40340",2024,90,73,17,0,0,0,0,68,56,37,0,0,24,66,0
"Rochester, NY","40380",2024,183,144,39,0,0,0,0,81,54,39,1,1,108,73,0
"Rock Springs, WY","40540",2024,176,173,2,1,0,0,0,118,44,32,0,1,85,87,3
"Rockford, IL","40420",2024,182,133,49,0,0,0,0,84,58,43,0,0,98,84,0
"Rockland, ME","40500",2024,203,192,11,0,0,0,0,84,45,35,0,0,203,0,0
"Rocky Mount, NC","40580",2024,111,100,11,0,0,0,0,76,50,37,0,0,53,58,0
"Rome, GA","40660",2024,179,118,61,0,0,0,0,79,62,37,0,0,0,179,0
"Rutland, VT","40860",2024,92,73,19,0,0,0,0,61,56,38,1,0,33,58,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2024,158,98,60,0,0,0,0,93,61,48,0,0,97,60,1
"Salem, OH","41400",2024,33,33,0,0,0,0,0,34,17,11,0,0,0,0,33
"Salem, OR","41420",2024,91,77,14,0,0,0,0,65,52,24,0,0,0,91,0
"Salinas, CA","41500",2024,122,117,5,0,0,0,0,61,45,37,1,0,97,24,0
"Salisbury, MD-DE","41540",2024,91,76,15,0,0,0,0,75,55,38,0,0,59,32,0
"Salt Lake City, UT","41620",2024,214,115,84,14,1,0,0,176,93,49,1,6,153,51,3
"San Antonio-New Braunfels, TX","41700",2024,122,60,61,0,1,0,0,199,70,51,1,0,32,87,2
"San Diego-Carlsbad, CA","41740",2024,150,95,51,4,0,0,0,119,77,46,0,0,133,17,0
"San Francisco-Oakland-Hayward, CA","41860",2024,61,30,31,0,0,0,0,67,59,51,1,0,5,55,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2024,151,125,26,0,0,0,0,80,54,40,0,1,109,41,0
"San Juan-Carolina-Caguas, PR","41980",2024,183,53,81,31,14,0,4,1133,146,78,3,0,9,143,28
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2024,152,146,6,0,0,0,0,58,45,39,0,0,144,8,0
"Sandpoint, ID","41760",2024,91,86,5,0,0,0,0,60,48,28,0,0,0,87,4
"Santa Cruz-Watsonville, CA","42100",2024,121,111,10,0,0,0,0,58,47,39,0,0,56,65,0
"Santa Fe, NM","42140",2024,89,87,2,0,0,0,0,64,46,39,0,0,88,1,0
"Santa Maria-Santa Barbara, CA","42200",2024,92,84,8,0,0,0,0,60,46,39,1,0,71,20,0
"Santa Rosa, CA","42220",2024,91,90,1,0,0,0,0,53,36,29,2,0,44,14,31
"Savannah, GA","42340",2024,179,133,45,1,0,0,0,130,61,42,0,0,46,133,0
"Sayre, PA","42380",2024,145,122,23,0,0,0,0,69,54,27,0,0,0,145,0
"Scottsbluff, NE","42420",2024,197,181,16,0,0,0,0,88,43,9,0,0,0,197,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2024,153,142,11,0,0,0,0,64,48,28,1,59,0,93,0
"Seattle-Tacoma-Bellevue, WA","42660",2024,122,70,52,0,0,0,0,96,61,47,1,1,45,75,0
"Sebastian-Vero Beach, FL","42680",2024,147,146,1,0,0,0,0,51,45,37,0,0,147,0,0
"Sebring, FL","42700",2024,181,151,30,0,0,0,0,77,58,41,0,0,181,0,0
"Sevierville, TN","42940",2024,149,118,31,0,0,0,0,74,61,44,0,0,149,0,0
"Sheboygan, WI","43100",2024,7,7,0,0,0,0,0,44,44,44,0,0,7,0,0
"Shelton, WA","43220",2024,121,116,5,0,0,0,0,55,43,19,0,0,0,121,0
"Sheridan, WY","43260",2024,121,118,3,0,0,0,0,55,42,19,0,0,0,90,31
"Show Low, AZ","43320",2024,182,182,0,0,0,0,0,45,19,12,0,0,0,0,182
"Shreveport-Bossier City, LA","43340",2024,182,113,67,2,0,0,0,101,61,46,0,0,90,90,2
"Sierra Vista-Douglas, AZ","43420",2024,182,124,52,6,0,0,0,120,80,45,0,0,145,0,37
"Sioux City, IA-NE-SD","43580",2024,172,135,37,0,0,0,0,84,58,43,0,0,144,28,0
"Sioux Falls, SD","43620",2024,92,82,10,0,0,0,0,66,51,26,1,3,48,40,0
"Somerset, KY","43700",2024,91,75,16,0,0,0,0,68,54,36,0,0,17,74,0
"Somerset, PA","43740",2024,150,142,8,0,0,0,0,87,49,37,0,0,150,0,0
"Sonora, CA","43760",2024,31,31,0,0,0,0,0,44,34,28,0,0,31,0,0
"South Bend-Mishawaka, IN-MI","43780",2024,182,123,59,0,0,0,0,87,62,44,0,0,109,73,0
"Spartanburg, SC","43900",2024,213,114,98,1,0,0,0,112,71,49,0,0,91,122,0
"Spokane-Spokane Valley, WA","44060",2024,121,84,37,0,0,0,0,87,60,34,0,0,0,104,17
"Springfield, IL","44100",2024,182,132,49,1,0,0,0,105,58,43,0,0,89,93,0
"Springfield, MA","44140",2024,182,146,34,2,0,0,0,119,56,40,0,3,142,37,0
"Springfield, MO","44180",2024,89,58,31,0,0,0,0,82,67,40,0,0,18,71,0
"Springfield, OH","44220",2024,182,116,64,2,0,0,0,133,64,45,0,0,77,105,0
"St. Cloud, MN","41060",2024,90,70,20,0,0,0,0,66,59,37,0,0,26,64,0
"St. George, UT","41100",2024,213,143,70,0,0,0,0,90,71,46,0,0,211,2,0
"St. Joseph, MO-KS","41140",2024,89,52,37,0,0,0,0,75,59,44,0,0,15,70,4
"St. Louis, MO-IL","41180",2024,182,82,96,2,2,0,0,165,76,51,0,2,72,99,9
"St. Marys, PA","41260",2024,145,138,7,0,0,0,0,61,46,36,0,0,145,0,0
"State College, PA","44300",2024,152,131,21,0,0,0,0,87,54,40,0,1,125,26,0
"Steamboat Springs, CO","44460",2024,151,150,1,0,0,0,0,53,31,12,0,0,0,0,151
"Stockton-Lodi, CA","44700",2024,31,10,21,0,0,0,0,79,72,55,0,0,1,30,0
"Summerville, GA","44900",2024,89,87,2,0,0,0,0,67,48,39,0,0,89,0,0
"Syracuse, NY","45060",2024,182,168,14,0,0,0,0,84,50,37,0,0,142,40,0
"Tallahassee, FL","45220",2024,91,58,33,0,0,0,0,87,66,43,0,0,30,61,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2024,183,71,109,3,0,0,0,132,67,52,1,0,64,118,0
"Taos, NM","45340",2024,90,90,0,0,0,0,0,46,31,14,0,0,0,90,0
"Terre Haute, IN","45460",2024,182,109,73,0,0,0,0,90,63,46,0,0,87,95,0
"Texarkana, TX-AR","45500",2024,121,79,42,0,0,0,0,68,58,41,0,0,0,121,0
"The Dalles, OR","45520",2024,89,74,15,0,0,0,0,75,55,24,0,0,0,89,0
"Toledo, OH","45780",2024,182,88,92,2,0,0,0,119,71,51,0,0,83,99,0
"Topeka, KS","45820",2024,91,79,12,0,0,0,0,68,52,38,0,0,62,29,0
"Torrington, CT","45860",2024,92,89,3,0,0,0,0,53,44,37,3,0,80,9,0
"Traverse City, MI","45900",2024,31,31,0,0,0,0,0,45,41,38,0,0,31,0,0
"Trenton, NJ","45940",2024,150,120,30,0,0,0,0,100,59,40,0,0,110,40,0
"Truckee-Grass Valley, CA","46020",2024,91,86,5,0,0,0,0,69,44,32,0,0,67,24,0
"Tucson, AZ","46060",2024,183,88,88,5,2,0,0,171,87,51,1,0,125,37,20
"Tulsa, OK","46140",2024,152,73,76,2,1,0,0,179,67,51,0,0,64,87,1
"Tupelo, MS","46180",2024,31,31,0,0,0,0,0,50,47,40,0,0,31,0,0
"Tuscaloosa, AL","46220",2024,120,103,15,2,0,0,0,125,53,28,0,0,21,99,0
"Twin Falls, ID","46300",2024,87,86,1,0,0,0,0,52,25,12,0,0,0,87,0
"Tyler, TX","46340",2024,120,113,7,0,0,0,0,80,49,39,0,0,120,0,0
"Urban Honolulu, HI","46520",2024,92,89,3,0,0,0,0,85,42,36,1,0,56,35,0
"Utica-Rome, NY","46540",2024,150,135,15,0,0,0,0,58,51,26,0,0,0,150,0
"Valdosta, GA","46660",2024,161,101,59,1,0,0,0,110,59,43,0,0,0,161,0
"Vallejo-Fairfield, CA","46700",2024,106,98,8,0,0,0,0,67,49,36,0,2,67,22,15
"Vermillion, SD","46820",2024,91,71,20,0,0,0,0,64,56,36,0,0,41,50,0
"Vernal, UT","46860",2024,213,142,69,2,0,0,0,112,67,46,0,0,200,13,0
"Victoria, TX","47020",2024,89,87,2,0,0,0,0,58,46,35,0,0,89,0,0
"Vincennes, IN","47180",2024,146,136,10,0,0,0,0,64,49,37,0,0,146,0,0
"Vineland-Bridgeton, NJ","47220",2024,90,79,11,0,0,0,0,64,52,37,0,2,65,23,0
"Vineyard Haven, MA","47240",2024,181,171,9,1,0,0,0,108,46,38,0,0,181,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2024,213,162,51,0,0,0,0,86,56,42,0,9,89,115,0
"Visalia-Porterville, CA","47300",2024,157,71,81,5,0,0,0,133,84,52,0,0,86,71,0
"Wabash, IN","47340",2024,152,141,11,0,0,0,0,77,49,35,0,0,152,0,0
"Waco, TX","47380",2024,122,78,44,0,0,0,0,76,63,47,1,0,30,91,0
"Walla Walla, WA","47460",2024,152,140,12,0,0,0,0,79,48,37,0,0,115,35,2
"Warner Robins, GA","47580",2024,179,121,57,1,0,0,0,105,61,41,0,0,0,179,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2024,213,121,89,3,0,0,0,114,64,48,0,8,103,102,0
"Waterloo-Cedar Falls, IA","47940",2024,212,127,85,0,0,0,0,87,61,46,0,0,86,126,0
"Watertown, SD","47980",2024,91,74,17,0,0,0,0,65,53,36,0,0,11,78,2
"Watertown-Fort Atkinson, WI","48020",2024,7,7,0,0,0,0,0,44,44,39,0,0,7,0,0
"Watertown-Fort Drum, NY","48060",2024,181,173,8,0,0,0,0,80,44,34,0,0,181,0,0
"Wausau, WI","48140",2024,91,76,15,0,0,0,0,67,54,29,0,0,7,84,0
"Weirton-Steubenville, WV-OH","48260",2024,182,115,67,0,0,0,0,93,63,45,0,0,78,104,0
"Wenatchee, WA","48300",2024,121,112,9,0,0,0,0,65,47,26,0,0,0,121,0
"Wheeling, WV-OH","48540",2024,182,114,68,0,0,0,0,81,61,46,0,2,13,144,23
"Whitewater-Elkhorn, WI","48580",2024,7,7,0,0,0,0,0,44,44,40,0,0,7,0,0
"Wichita, KS","48620",2024,91,73,18,0,0,0,0,83,54,38,0,1,50,38,2
"Williamsport, PA","48700",2024,144,119,25,0,0,0,0,80,54,28,0,0,0,144,0
"Wilmington, NC","48900",2024,121,98,23,0,0,0,0,97,57,41,0,0,53,68,0
"Wilmington, OH","48940",2024,122,96,24,2,0,0,0,112,64,44,0,0,122,0,0
"Winchester, VA-WV","49020",2024,213,170,42,1,0,0,0,102,54,41,0,0,82,131,0
"Winston-Salem, NC","49180",2024,152,95,56,1,0,0,0,111,71,47,0,3,71,78,0
"Worcester, MA-CT","49340",2024,183,167,16,0,0,0,0,90,50,38,1,7,145,28,2
"Yakima, WA","49420",2024,121,91,30,0,0,0,0,88,58,33,0,0,0,120,1
"York-Hanover, PA","49620",2024,152,112,40,0,0,0,0,96,58,36,0,18,0,134,0
"Youngstown-Warren-Boardman, OH-PA","49660",2024,182,116,66,0,0,0,0,97,61,46,0,0,97,85,0
"Yuba City, CA","49700",2024,31,24,7,0,0,0,0,61,57,33,0,0,11,20,0
"Yuma, AZ","49740",2024,182,123,58,1,0,0,0,101,75,44,0,0,117,28,37
